CONSECUTIVO,ESTABLECIMIENTO,CIUDADMUNICIPIO,DIRECCION,PRODUCTOSELABORADOS,FECHACERTIFICACION
27,GLOPACK SAS,TURBACO,CENTRO INDUSTRIAL TERNERO No 1 BODEGA 10,"ENVASE DE SAL PARA EXPORTACION FLUORADA, YODADA Y LIBRE DE FLUOR Y YODO",09/06/2017 12:00:00 AM
28,INDUSTRIA QUINDIANA DE LACTEOS Y ALIMENTOS LTDA QUINALAC LTDA,ARMENIA,CALLE 50 # 5-75 BODEGA 1,"LECHE CONDENSADA, AZUCARADA SEMI DESCREMADA, LECHE CONDENSADA AZUCARADA, DULCE CON LECHE (MANJAR BLANCO, PANELITAS, COCADAS), AREQUIPES, CARAMELOS",08/02/2017 12:00:00 AM
29,GIMNASIO LOS ARRAYANES,BOGOTA,CALLE 219 # 45-10,ALIMENTOS LISTOS PARA CONSUMO INMEDIATO,05/26/2017 12:00:00 AM
30,PROSIGNA SAS,BARRANQUILLA,CARRERA  30 ZONA FRANCA AVENIDA HAMBURGO BODEGA R,"PALOMITAS DE MAIZ PARA MICROONDAS, CHICHARRONES (PIEL DE CERDO) AVENA INSTANTANEA SABORIZADA MEZCLA EN POLVO INSTANTANEA PARA PREPARAR BEBIDAS DE SOYA BEBIDAS ACHOCOLATADAS MEZCLA LISTA PARA PREPARAR PANCAKES, AVENA EN HOJUELAS SABORIZADA Y TRADICIONAL",05/19/2017 12:00:00 AM
31,HARINERA DEL VALLE S.A,PALMIRA,CARRERA 33 A # 16-04,PRODUCCION DE HARINA Y OTROS ARTICULOS DERIVADOS DE TRIGO U OTROS CEREALES,03/10/2017 12:00:00 AM
32,EXPOCAROLA S.A.S,PALMIRA,CALLE 44 # 2E - 18 BARRIO LOS CRISTALES,"CONSERVAS DE FRUTAS VARIEDADES, VERDURAS Y HORTALIZAS EN CONSERVA VARIEDADES JALEA DE FRUTA VARIEDADES MANJAR BLANCO CON BREVA, MANJAR BLANCO CON COCO, MANJAR BLANCO CON CAFÉ, MANJAR BLANCO CON PASAS, SELLO DE MANJAR BLANCO, PANELITAS DE LECHE Y CORTADO DE LECHE, LECHE CONDENSADA AZUCARADA ENTERA",02/03/2017 12:00:00 AM
33,PRODUCTOS QIKELY S.A.S,CALI,CALLE 68 # 7C - 07 BARRIO CIUDADELA INDUSTRIAL FEPICOL SEDE PLANTA 2,"GRANOLA  (CEREAL DE AVENA) HOJUELAS CROCANTES VARIEDADES GRANOLA LIGHT EN CALORIAS O FLAKES; HOJUELAS CROCANTES DE AVENA VARIEDADES, AVENA MAS FIBRA VARIEDADES AVENA EN HOJUELAS Y AVENA INTEGRAL AVENA MOLIDA Y HARINA DE AVENA Y AVENA MOLIDA INTEGRAL.",10/12/2016 12:00:00 AM
34,QUIMEX INDUSTRIALES S.A (QUIMEX S.A.),CALI,CARRERA 1B # 39-84,"PRODUCTOS TERMINAS O SUBPRODUCTOS O MATERIAS PRIMAS (ENTRE ELLAS ALIMENTOS), TALES COMO EDULCORANTES, PIMENTOS, BICARBONATOS, ACEITES DE MAIZ, ACIDOS, ALMIDONES, PRESERVANTES, SABORIZANTES, COLORANTES  Y ADITIVOS.",08/19/2016 12:00:00 AM
35,COMPAÑÍA NACIONAL DE CHOCOLATES SAS,BOGOTA,CARRERA 65 # 12-60,EXPLOTACION DE LA INDUSTRIA DE ALIMENTOS EN GENERAL Y DE MANERA ESPECIAL DE CHOCOLATES Y SUS DERIVADOS.,07/13/2016 12:00:00 AM
36,INGEALIMENTOS SAS,CALI,CARRERA 14 # 9-58 BARRIO SAN BOSCO,"ADOBOS Y SAZONADORES PARA PASTA, POLLOS Y CARNES DE DIFERENTES VARIEDADES. SISTEMAS DE COVERTURA PARA CARNES Y POLLO. SABORES PARA SNACKS DIFERENTES VARIEDADES: LIMON Y SUS VARIEDADES A POLLO Y SUS VARIEDADES, A PARRILLADA Y SUS VARIEDADES, A JALAPEÑO Y SUS VARIEDADES, A BBQ Y SUS VARIEDADES, A TOCINETA, A MAYONESA, A QUESO Y SUS VARIEDADES, SABORES GOURMET ENTRE OTROS. SAZONADORES NATURALES Y ARTIFICIALES. SALSAS Y ADEREZOS DE DIFERENTES VARIEDADES. CONDIMENTOS. MEZCLA EN POLVO, CHAMPIÑORES EN CONSERVA.",03/30/2016 12:00:00 AM
37,COMPAÑÍA NACIONAL DE CHOCOLATES SAS,RIONEGRO,KILOMETRO 2 VIA A BELEN MUNICIPIO DE RIONEGRO-ANTIOQUIA,EXPLOTACION DE LA INDUSTRIA DE ALIMENTOS EN GENERAL Y DE MANERA ESPECIAL DE CHOCOLATES Y SUS DERIVADOS,02/26/2016 12:00:00 AM
38,AGROINDUSTRIAS DEL CAUCA S.A,GUACHENE,KILOMETRO 3 VIA PUERTO TEJADA - GUACHENE,DERIVADOS DE LA CAÑA DE AZUCAR Y ELABORACION DE MEZCLAS ALIMENTICIAS,11/05/2015 12:00:00 AM
39,QUESOS DE PAIPA,DUITAMA,"KILOMETRO 4,5 VIA DUITAMA-LA TRINIDAD SECTOR SAN JORGE VEREDA SAN LORENZO DE ABAJO","QUESO FRESCO SEMIGRASO, SEMIDURO MOZARELA Y PERA; QUESO MADURO, SEMIGRASO, SEMIDURO PAIPA",09/17/2015 12:00:00 AM
40,TECNAS SA,ITAGUI,CARRERA 50G # 12 SUR -29,"DISEÑO, FABRICACION Y COMERCIALIZACION DE INGREDIENTES, ADITIVOS, PREPARADOS, SISTEMAS DE COBERTURA, SALSAS Y BASES ALIMENTICIAS PARA LA INDUSTRIA.",09/04/2015 12:00:00 AM
41,CARDENAS PUERTO FANNY ESPERANZA ESTABLECIMIENTO DE COMERCIO QUESOS PAIPA FACTORY,DUITAMA,KILOMETRO 5 VIA DUITAMA LA TRINIDAD,"QUESO SEMI MADURO DURO PAIPA, QUESO FRESCO SEMI DURO SEMI GRASO VARIEDAD MOZARELA, QUESO FRESCO SEMI GRASO BLANDO VARIEDAD REQUESON",08/21/2015 12:00:00 AM
42,INDUSTRIA COLOMBIANA DEL CAFÉ SAS COLCAFE SAS,MEDELLIN,CARRERA 50 AUTOPISTA SUR # 6 SUR 81,"CAFÉ TOSTADO, MOLIDO, SOLUBLE, EXTRACTOS DEL CAFÉ, MEZCLAS PARA PREPARAR CAFÉ",08/06/2015 12:00:00 AM
43,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA - BUENCAFE LIOFILIZADO,CHINCHINA,CARRERA 4 # 16-50,"CAFÉ TOSTADO, CAFÉ TOSTADO Y MOLIDO, EXTRACTO CONCENTRADO DE CAFÉ, CAFÉ LIOFILIZADO Y CAFES ESPECIALES",07/17/2015 12:00:00 AM
44,LUALCO SOCIEDAD POR ACCIONES SIMPLIFICADA - LUALCO S.A.S,GUICAN DE LA SIERRA,CALLE 7 # 6-15,"ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS, CARNICOS Y ALIMENTICIOS EN GENERAL",07/16/2015 12:00:00 AM
45,CONGRUPO S.A,COTA,"VEREDA VUELTA GRANDE, 150 Mts A DELANTE GLORIETA SIBERIA VIA COTA, COMPLEJO LOGISTICO INDUSTRIAL SIBERIA BG 65","CEREALES EXPANDIDOS Y COEXTRUIDOS, AROMATICAS, TE INFUSIONES",06/12/2015 12:00:00 AM
46,KELLOGG DE COLOMBIA S.A,BOGOTA,CALLE 17 # 68-95,"LINEA MULTIPRODUCTO (ALL BRAN, MUSLI, GRANOLA, RICE KRISPIS, SPECIAL K, CHOCO KRISPIS, ZUCARITAS AREQUIPE, ZUCARITAS, CORN FLAKES) LINEA DX ( CHOCO POPS, CHOCOPOPS KRISPIS POPS, FROOT LOOPS)",04/24/2015 12:00:00 AM
47,COMESTIBLES ALDOR S.A.S,YUMBO,CALLE 15 # 29-75 ACOPI YUMBO,"CARAMELOS DUROS, CARAMELOS BLANDOS CON RELLENO, CHICLETS CON Y SIN AZUCAR, CARAMELOS MASTICABLES, GOMAS",03/20/2015 12:00:00 AM
48,PEPSICO ALIMENTOS ZF LTDA,FUNZA,VDA LA FLORIDA CORREDOR INDUSTRIAL KILOMETRO 3 VIA FUNZA - SIBERIA,GALLETAS PAPAS FRITA TORTILLAS Y EXTRUIDOS,03/20/2015 12:00:00 AM
49,INGREDION COLOMBIA S.A,CALI,CARRERA 5 # 52-56,"ALMIDONES NO MODIFICADOS, ALMIDONES MODIFICADOS, MEZCLAS ALIMENTICIAS(BUÑUELOS, NATILLA, PANDEBONO, PANDEYUCA, ALMOHANA Y CHURROS), JARABE DE MAIZ SORBITOL ACEITE REFINADO DE MAIZ, MEZCLAS EDULCORANTES A BASE DE STEVIA Y MEZCLAS DE CEREALES.",03/13/2015 12:00:00 AM
